"Côte d'Ivoire","Total renewable water resources (10^9 m3/year)",1962,84.14,"I",,1967,84.14,"I",,1972,84.14,"I",,1977,84.14,"I",,1982,84.14,"I",,1987,84.14,"I",,1992,84.14,"I",,1997,84.14,"I",,2002,84.14,"I",,2007,84.14,"I",,2012,84.14,"I",,2017,84.14,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Croatia","Total renewable water resources (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,105.5,"I",,1997,105.5,"I",,2002,105.5,"I",,2007,105.5,"I",,2012,105.5,"I",,2017,105.5,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cuba","Total renewable water resources (10^9 m3/year)",1962,38.12,"I",,1967,38.12,"I",,1972,38.12,"I",,1977,38.12,"I",,1982,38.12,"I",,1987,38.12,"I",,1992,38.12,"I",,1997,38.12,"I",,2002,38.12,"I",,2007,38.12,"I",,2012,38.12,"I",,2017,38.12,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cyprus","Total renewable water resources (10^9 m3/year)",1962,0.78,"I",,1967,0.78,"I",,1972,0.78,"I",,1977,0.78,"I",,1982,0.78,"I",,1987,0.78,"I",,1992,0.78,"I",,1997,0.78,"I",,2002,0.78,"I",,2007,0.78,"I",,2012,0.78,"I",,2017,0.78,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Czechia","Total renewable water resources (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,13.15,"I",,2002,13.15,"I",,2007,13.15,"I",,2012,13.15,"I",,2017,13.15,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Democratic People's Republic of Korea","Total renewable water resources (10^9 m3/year)",1962,77.15,"I",,1967,77.15,"I",,1972,77.15,"I",,1977,77.15,"I",,1982,77.15,"I",,1987,77.15,"I",,1992,77.15,"I",,1997,77.15,"I",,2002,77.15,"I",,2007,77.15,"I",,2012,77.15,"I",,2017,77.15,"I",

